,target,sentence,label
60,cool,Fabric gives cool feeling after biopolishing .,cool_2
61,cool,What do you wear as a base layer when it 's cool outside ?,cool_2
62,cool,"It ’s cool to visit a business where you can just walk into the workshop to be greeted by the owner working on his own car on the ramp , and is happy to have a chat with anyone that takes a bit of interest in the car .",cool_1
63,cool,""" What word? .. I need a cool word to stamp ! ! !",cool_1
64,cool,I think this discovery is really cool because rome - era tombs are from way back when .,cool_1
65,cool,"But the cool thing is , you can start right now by simply organizing and letting go of clutter .",cool_1
66,cool,"Trust me , this tastes exactly how it looks , cool and refreshing , a great salad to serve this summer !",cool_2
67,cool,"Many of them are very cool additions for your phone , but there ’s also a fair share of low quality ones .",cool_1
68,cool,Renters here love the laidback vibes and cool energy of this city center .,cool_1
69,cool,"Store in a cool , dry place , tightly sealed .",cool_2
70,cool,"Ensure ready access to cool water in convenient , visible locations .",cool_2
71,cool,"Grab this cool web - tool and create a bright , awesome , responsive and mobile - friendly website .",cool_1
72,cool,Your kids spend a lot of time at school doing cool things .,cool_1
73,cool,"After you 've done a few rows , sprinkle with raspberry dust and let cool completely ( about 2 hours ) .",cool_2
74,cool,what a cool pie iron !,cool_1
75,cool,"For as long as the question has existed , the Catholic Church has had a cool or mixed attitude towards capitalism , always quicker to offer precautions than unreserved praise : the common good precedes individualistic pursuit of wealth ; employers have a duty out of justice to provide workers with a living wage and not just treat them as cheap machinery ; private property is not an absolute right , but contingent upon whether the basic needs of others have been met .",cool_2
76,cool,"When washing your wigs , you have to use cool water and gentle shampoo .",cool_2
77,cool,"Plus , that whole cool factor and I got to go in places that no one else could , giving me a fantastic vantage point of the race course .",cool_1
78,cool,Let cool for 30 minutes in the pan on a rack .,cool_2
79,cool,"I appreciate you for coming up with those productive , safe , revealing and in addition cool guidance on your topic to Ethel .",cool_1
80,cool,I chose to use the heat sinks to keep them extra cool .,cool_2
81,cool,"I know , I know – you may have heard the same thing before from those that think it ’s cool to hate Microsoft ; but I ’m not one of those guys .",cool_1
82,cool,"The aforementioned steps make maintenance a bit easier , let you keep a cool home throughout the summertime , and help you to save on electricity costs .",cool_2
83,cool,Decks should be attractivespash non slip pool tiles cool to the touch and comfortable to walk onYou have multiple options for your above ground pool deck .,cool_2
84,cool,"I always thought it would be cool to combine translation memory , machine translation , and artificial intelligence .",cool_1
85,cool,Let cool on a wire rack and enjoy !,cool_2
86,cool,"It supports cool effects , multiple projects / tabs , layers and action history .",cool_1
87,cool,"Many thanks for rendering those important , healthy , revealing and even cool thoughts on your topic to Julie .",cool_1
88,cool,"Starting her career in the Santa Cruz Mountains in California , Kelley was drawn back to the land of the long white cloud by its unique culture and geography plus the promise and challenge of cool climate wine growing .",cool_2
89,cool,"If bleach comes in contact with eyes or skin , flush the area with cool water for 15 to 20 minutes .",cool_2
90,cool,"A soft new carpet makes all the difference in the home , especially on those cool mornings .",cool_2
91,cool,"November rainfall is even less around 50 mm and itâs another great month , though it sees the first cool temperatures with night time lows dropping to single figures .",cool_2
92,cool,"As the cool and sometimes wet winter weather rolled in , many riders chose to stay home , but by spring 2001 , as many as 80 bikes came out each Wednesday and the gathering was officially named the San Fernando Valley Bike Night , or SFV Bikenight for short .",cool_2
93,cool,"They were stored in my home for most of the time , in a card board box in a cool temperature room .",cool_2
94,cool,It 's cool that we are both sharing page space over there .,cool_1
95,cool,"Being a resident nerd , I was n’t exactly in the same scene of private parties that the cool kids went to .",cool_1
96,cool,"That was just the cool part , the really cool part ?",cool_1
97,cool,Pumpkin Spice Donuts are a treat on cool winter days !,cool_2
98,cool,"This card was drawn on 28th November 2018 the weather had been cool , cloudy and generally miserable for weeks and I needed some cool colours and fun to change my mood , I hope Tabatha Tiger has the same effect on you .",cool_2
99,cool,This leather jacket will be perfect for formal evenings in cool weather- 40 degrees or so .,cool_2
100,cool,"The cool location was not the only unique aspect , rather more the kaleidoscopic - type line up .",cool_1
101,cool,And a martini glass with some water and ice in it if you want to get the martini glass nice and cool before you actually serve the drink .,cool_2
102,cool,The cool thing about our imaginations is that we can just as easily use them to imagine the best possibilities for high school .,cool_1
103,cool,Today is going to be a hot one so i m going to try and keep cool the best way I can .,cool_2
104,cool,Place in a cool place to ' relax ' .,cool_2
105,cool,Igloo is one of the world ’s leading cool box manufactures meaning you can keep your food cool on ice in confidence .,cool_2
106,cool,"Once you ’ve stopped the bleeding , rinse the cut under cool running water or use a saline wound wash .",cool_2
107,cool,"The cool purposes that it has attracts people from all walks of life – professors , architects , engineers and builders , security forces and even youngsters .",cool_1
108,cool,"A little Italian gem on the beach , Posada Margherita is a seductive mix of casual and cool .",cool_1
109,cool,"In daily stop and go , no other after cooling solution is as effective as the air to water in generating a cool and steady intake temp .",cool_2
110,cool,Protect your arms and your ink from the harmful effects of the sun and stay cool with these muscle compression sleeves featuring stunning tattoo designs as well as an array of solid colors .,cool_2
111,cool,"Brown patch on cool season grasses requires thes items : Water , heat , warm nights , humidity .",cool_2
112,cool,"The days have been hot , but along about sunset , a cool breeze springs up and stirs around in the tops of shade trees and sweetens the air with a breath from the old wild rose at the edge of the yard .",cool_2
113,cool,"However , if you have n’t ( it ’s cool – we ’re all busy ! )",cool_1
114,cool,Ben creates environments that enable talented people to build cool stuff .,cool_1
115,cool,"Certainly hope they start to offer Passholder and “ Tables ” discounts eventually because I agree with you : as cool as this is , I ’m not forgoing my 20%+ discount for convenience !",cool_1
116,cool,and s is cool deckingCool decking is a topping that is applied over the concrete deckingThe process for cool deck involves pouring the concrete as normal and then splashing the cool deck over it before it is totally set up .,cool_2
117,cool,We found a lot of really cool paper goods at the estate sale too .,cool_1
118,cool,Are there any cool mutations found in mandarin ducks ?,cool_1
119,cool,I decorate my hallway like I would my living room – with stuff in it so it feels pretty cool,cool_1
120,cool,How cool is that ?,cool_1
121,cool,"While we ’d hope that if we had to spend the night in the woods , it would be nothing but clear skies and perhaps just a bit cool , the reality is you are just as likely to be sitting in the middle of a steady rain with not a dry twig in sight for the evening fire .",cool_2
122,cool,"The first reason was that one of our babysitters worked there and my sister and I both thought she was cool , so by going there we were cool too .",cool_1
123,cool,Leopards for kids leopards are gorgeous creatures to look at and they 're really interesting too here are some cool leopard facts to fill your brain with .,cool_1
124,cool,It makes me look so cool .,cool_1
125,cool,"We do n’t blame you , it ’s a pretty cool name .",cool_1
126,cool,"Howlite removes distractions , focusing your mind while keeping you cool and under control .",cool_2
127,cool,A fan 503 is positioned below the bulb 100 and reflector 101 and draws cool air into the housing 20 for cooling .,cool_2
128,cool,"From the terraced rice field to the exciting ethnic lives , from the cool climate to the colorful trek , Sapa is a must - see , must - go and must - experience .",cool_2
129,cool,Pretty cool version .,cool_1
130,cool,Thermal absorptivity is an indicator of warm - cool feeling .,cool_2
131,cool,"He helped bring things back to the essence of proper , pure trance music without the harder more aggressive EDM , dubstep and house influences that were prevalent in ' trance ' music at the time and made it cool to be un - cool again .",cool_1
132,cool,"A fast paced 3D car stunt driving game , where you get to perform the most amazing tricks and stunts in some really cool environments .",cool_1
133,cool,"Stay cool and breezy with this floaty dress , covered in sophisticated midnight blue lace .",cool_2
134,cool,Adding a sword takes seconds and you can share your cool sword battle scenes soon after you take a picture .,cool_1
135,cool,They are all looking for a awesome online partner to share some giggles in a cool chat conversation .,cool_1
136,cool,"I am not sure who decides what is cool these days but the CE has been boasting these capabilities in small mobile devices for a while , it seems to me that marketing , and primarily , hype is even more relevant than the product itself .",cool_1
137,cool,But please remember this is Scotland so bring your wooly jumpers for that un - seasonal cool spell !,cool_2
138,cool,The breeze was cool enough to be pleasant .,cool_2
139,cool,How cool is that ? !,cool_1
140,cool,"And after few songs I realised that it 's practically impossible to watch his movements , so I switched to watching the cool guitar skills of Karl Sanders or of the bassist Chris Lollis .",cool_1
141,cool,"If you want to make the fresh straws last even longer , the company 's website suggests boiling the straws with some salt , letting dry , and then storing in a cool dry place .",cool_2
142,cool,"So before the cool weather arrives , make a batch of these Lemon Raspberry Buttermilk Popsicles and celebrate the remaining days of summer in style !",cool_2
143,cool,It could be the cool factor associated with being the official craft beer of the Detroit City Football Club .,cool_1
144,cool,"Created using some really cool stick like seeds and large Kukui Nuts with Mother - of - Pearl beads , sparkling Swarovski Crystals and a touch of Sterling Silver .",cool_1
145,cool,I lived in MN for a couple of years and it was a very cool place .,cool_1
146,cool,"Humanature combine pure Enzogenol ® with L - theanine to support neural balance , cool heads and change lives with healthy concentration , mental clarity and stress management .",cool_2
147,cool,"The partnership with Just Shot Shop , is base don the fact that we will drive their choice to purchase fashion items , and even develop them till they will become also a super cool window for so many young fashion brand under our creativity and supervisor .",cool_1
148,cool,"The Deluxe kit comes with air conditioning to keep you cool , no matter how hot it gets outside .",cool_2
149,cool,"Hey , if I help one person , then cool !",cool_1
150,cool,Click here to see all the cool products they offer .,cool_1
151,cool,"PS Let me know if you ’re cool for me to share brands like this , that I genuinely support , and then offer discounts .",cool_1
152,cool,"What a cool name for a Toastmasters club , I thought .",cool_1
153,cool,In Iowa you never run out of outdoors cool things .,cool_1
154,cool,Join the most social community game and chat with real people from all around the world in the cool Global Chat Board !,cool_1
155,cool,"While engrossed in Allison Pittman ’s latest novel , On Shifting Sand , I continually found myself heading to the kitchen for a tall , cool glass of water to slake my thirst .",cool_2
156,cool,"Well , every event that she hosts is super cool and I have to mention that she ’s pretty darn cool herself .",cool_1
157,cool,"The bar has a super cool vibe with blue - ish , purple lighting and in classic Berlin fashiopn , some great music to go along .",cool_1
158,cool,Late last year I reached out on social media to find out if anyone had a cool 911 I could photograph and very soon after Tom at Paul Stephens 911 in Essex reached out and said ' Yes ' .,cool_1
159,cool,This stuff is really cool and really looks like water .,cool_1
160,cool,"2D Art : We want cool illustrations , abstract paintings , awesome comics , and interesting photography .",cool_1
161,cool,Was it a cool tool with a wicked UI ?,cool_1
162,cool,"Our midwife thought it was really cool and said a little message to the baby on the tape , too .",cool_1
163,cool,PayCycle is offering small - business owners another way keep a cool heart when filing taxes .,cool_2
164,cool,"I have left a few ships damaged for a while ( Concord from RV being the main one I remember ) – as long as you can see the cannon die marking and there ’s some sail , it can almost look cool like the ship is just permanently damaged ( depending on the break of course ) .",cool_1
165,cool,"The updated kitchen feels fresh with white cabinets and walls , cool gray granite counters , stainless steel appliances , statement light fixtures and an eat - at island .",cool_2
166,cool,"Secluded , but easy access , romantic po , er and clean and elgends family vacation lake and mountain view log cabin for rent on cool high elevation Lake Legends casino poker .",cool_2
167,cool,It has thumbholes and is perfect for a cool day !,cool_2
168,cool,"It smelled cool and earthy , like fresh mushrooms .",cool_2
169,cool,I wish it was cool enough to wear a sweater !,cool_2
170,cool,"The use of multimedia , including texts , blogposts , and emails was really cool and added understanding and depth , particularly as Claire tries to learn more about her family and how her mother viewed events that occurred in the past .",cool_1
171,cool,Store in cool dry place .,cool_2
172,cool,The cool down end part of a class will recondition and pacify the nervous and cardiovascular systems .,cool_2
173,cool,The cabin was 4000 feet above sea level and got quite cool at night .,cool_2
174,cool,"You can find out millipedes living in moist , humid and cool environment .",cool_2
175,cool,Mrspalmreader - Leopard facts cool kid facts .,cool_1
176,cool,Trendir is a cool collection of modern everything from furniture to architecture and interior design .,cool_1
177,cool,"In the case of the CSM and IPSL simulations the decrease in cool - temperate mixed forest is larger than can be accounted for by the expansion of temperate deciduous broadleaf forest , and is partly due to encroachment by non - forest types .",cool_2
178,cool,The lily ozone and lively cool weather can be touched here throughout the year particularly during the nighttime .,cool_2
179,cool,Let ’s get to know the cool 3D shapes by printing out this set of cards .,cool_1
180,cool,[ MEDIA ] This is such a cool bass .,cool_1
181,cool,"Honestly , I think it would be cool to experiment with an auto - tune .",cool_1
182,cool,"Besides being breathable , lightweight , and sweat absorbing , this silky material offers a luxurious fit and icy cool feel even on those hot summer days .",cool_2
183,cool,What a cool idea !,cool_1
184,cool,How cool is this ? !,cool_1
185,cool,Genting Highlands is a cool hill station set amidst the cool mountain air and a majestic 100 million - year - old rainforest .,cool_1
186,cool,"The steepest parts of the climb were in a cool damp fog that lifted , or rather , that I rose above just before the Montebello parking lot .",cool_2
187,cool,"Lord Stranleigh met them within the hall apparently cool and unexcited , there ’s nothing to do .",cool_2
188,cool,Too many times in my OD we miss out on games that our users say are Epic or would just be cool to see .,cool_1
189,cool,cool birthday presents for 12 year olds best gifts for 12 year old girls 12th birthday pinterest templates .,cool_1
190,cool,It was really cool to have this group of diverse young people talking about finance in an open way .,cool_1
191,cool,"However , these regions have another important factor ; the nighttime temperatures and cool morning fog allow the acidity in the grapes to flourish .",cool_2
192,cool,"Now , it is almost 20 years later , and although I am not drinking to the same extent , I fear that am still drinking to fit in and be cool .",cool_1
193,cool,"- stop dancing for the hour - long class , your cool kids will learn a little about the history of the five main street dance styles .",cool_1
194,cool,Our plan is to save everyone in Branchville from the scorching heat with a comfortably cool home .,cool_2
195,cool,That ’s a cool site Opit .,cool_1
196,cool,"The stinger hood is a great addition to this small - block car , because the cool white streak is a cool match for the white folding roof making this Sting Ray striking with the top up or down .",cool_1
197,cool,The duo ’s Insta banter was cool for it ’s fans who too enjoyed it .,cool_1
198,cool,"In the fourth episode of The Email Design Podcast , hosts Kevin Mandeville and Jason Rodriguez discuss a whole lot of Gmail , the future of Android email clients , a cool new app from MailChimp , and take a look back at their test episode .",cool_1
199,cool,"Arthur Bovino , the lead writer for “ Always Hungry “ , a New York City restaurant review , has aptly described The Breslin Restaurant at The Ace Hotel as a ‘ cool , cleaned up version of the Edmont Hotel in ‘ The Catcher in the Rye ’ .",cool_1
200,cool,I got a BS in Economics and Political Science from TAMU and a cool watch from my dad ( on the right . ),cool_1
201,cool,Remove and when slightly cool place in a grinder or blender .,cool_2
202,cool,"I 've started a collection of these garden flags for my daughter and her significant other , they think its so cool to see their names on them .",cool_1
203,cool,"Kirin Ichiban ’s machine turns beer into a slushie that you can then use to top off a glass of beer , helping it stay cool for up to 30 minutes longer .",cool_2
204,cool,"Store it in a dry , cool space , preferably in a board bag like the Inflatable SUP Roller Backpack that comes with your SUP package .",cool_2
205,cool,"Mad Men is always aware of its own bigness ; it 's deep , but it 's also cool and crowd - pleasing .",cool_1
206,cool,"These were the really cool "" fire balloons "" that everyone was letting off .",cool_1
207,cool,Clyde ( senior Golden Retriever ) who is a lifetime resident - sure enjoys his cool digs !,cool_1
208,cool,"Climate Resolve , a local Los Angeles nonprofit organization , led the effort to pass the cool roof ordinance .",cool_2
209,cool,There is a definite electronica texture and this is quite a cool piece of music – and one that stands out nicely from the rest .,cool_1
210,cool,You can feel how wonderful and cool are on this island that is located in the plateau .,cool_2
211,cool,"It � s a cool idea , especially since all of the icons , locations , and even the graphics change afterward , but really it � s just changing the fluff of what ...",cool_1
212,cool,"There are benefits to either style , but in the past decade as I have integrated car camping into my family ’s life , I have found that though the dome style tents look cool and usually feature a lot of innovations , they do n’t allow you to utilize the maximum amount of floor space due to their curved walls .",cool_1
213,cool,"Stay cool , comfortable and completely shielded from the sun all summer long in men ’s straw Panama hats from Hats in the Belfry .",cool_2
214,cool,Ice bath cool for as long as blanching time .,cool_2
215,cool,That ’s cool about the Moleskine Exchange .,cool_1
216,cool,It is designed gracefully to give you a cool chic look that you can carry comfortably .,cool_1
217,cool,The question they pose in this spot is n’t one that has been asked very much and I think it is a great question and a cool sureal way to show what the world would be like without progression .,cool_1
218,cool,"After the fabric paint dries , you may use a black fabric paint to write cool things on the shirt such as ‘ ’ my kids walk all over me ’’ .",cool_1
219,cool,Conveniently comes with 3 different fun and cool designs .,cool_1
220,cool,Loosely woven semi sheer white cotton gauze is so cool and comfortable !,cool_2
221,cool,"Not only is the playing and singing faultless , it 's a cool video as well .",cool_1
222,cool,Create exciting school projects or cool promotional materials in seconds .,cool_1
223,cool,"Extremely quiet and cool running , this unit maintains a small footprint .",cool_2
224,cool,"If you ’ve always wanted to own one , but either ca n’t find it online or ca n’t afford what collectors are asking , an unbranded Graffiti Cocktail Shaker can be found online for a cool $ 20 .",cool_2
225,cool,How cool is that ?,cool_1
226,cool,"Prefers moist , fertile , well - drained soils and cool climates .",cool_2
227,cool,"Another cool related site is breathingearth.net , which shows CO2 emissions , births , and deaths in simulated real time around the world .",cool_1
228,cool,"Lord Stranleigh met them in the corridor apparently cool and unexcited , there ’s nothing to do .",cool_2
229,cool,"That is very , very cool Tammy !",cool_1
230,cool,"The Daily Mail reports that Simpson sold the rights to Maxwell ’s first photos for a cool $ 800,000 .",cool_2
231,cool,33 cool bedroom chairs you can buy awesome stuff 365 .,cool_1
232,cool,"This post of "" 40 elegant cool bedroom paint ideas "" was published on 08 - 08 - 2018 by jonshon .",cool_1
233,cool,"Come and enjoy with us this great film in Spanish with subtitles , learn new words in Spanish and practice conversation among cool amigos while enjoying some wine and empanadas ! $ 20 .",cool_1
234,cool,The water temperature is nice and cool .,cool_2
235,cool,Another cool part of the stickers is that the user can take a picture of their masterpiece and it will be saved to the camera roll .,cool_1
236,cool,Ravenloft would have been a cool get .,cool_1
237,cool,Every anime fan will love this cool pixel art anime coloring game .,cool_1
238,cool,"Today 's recipe is a refreshingly cool drink to beat the heat , Watermleon Lemonade .",cool_2
239,cool,You can find yourself in a pretty cool look .,cool_1
240,cool,"We have renovated most of them to top standard , and best of all ; they are full of cool people , just like yourself !",cool_1
241,cool,"There are so many stitches , it was cool to be able to use them !",cool_1
242,cool,"After that we walked around downtown , went in some cool shops .",cool_1
243,cool,"To Moscow , for example , relatively cool in Moscow early July , high temperatures at noon , 28 degrees -30 degrees , cool morning and evening , is recommended to bring long - sleeved clothing , long pants , and bring a jacket , it is quite cool after the rain .",cool_2
244,cool,He was just kinda a cool kid I ’d seen around the metal shows .,cool_1
245,cool,wall fence designs awesome various outside wall fencing designs collection and new home layout plans kitchen layouts images totally cool fence wall fence designs images .,cool_1
246,cool,and s is cool deckingCool decking is a topping that is applied over the concrete deckingThe process for cool deck involves pouring the concrete as normal and then splashing the cool deck over it before it is totally set up .,cool_2
247,cool,"The deal is a win - win situation - the shop gets a cool lamp they can display in their space , and Kinetic Additions gets exposure for their product .",cool_1
248,cool,Very cool giveaway .,cool_1
249,cool,"Thanks for churning out the essential , dependable , educational and in addition cool tips about that topic to Kate .",cool_1
250,cool,Many of the visitors were from local assisted living facilities and people with disabilities for whom this was a welcome tropical get - away on a cool spring day .,cool_2
251,cool,But let ’s go back to when some rally cool stuff was performed .,cool_1
252,cool,""" As long as you are n't getting booed , though , that 's cool .",cool_1
253,cool,LADWP will revisit this policy at the end of the next year because the idea is to phase it out as cool roofing materials become the standard .,cool_2
254,cool,If your Bulldog is going to spend the day outdoors make sure that it has a cool spot to relax in .,cool_2
255,cool,Another reason succulents are so cool is their medicinal uses .,cool_1
256,cool,"There are available various tooltip styles , even interesting tooltips with cool animation , so you can choose one that fits best for your needs .",cool_1
257,cool,Start with drinking a cool glass of water as soon as u wake up that is in the early morning .,cool_2
258,cool,so there was flappy bird game and started to play it and it was a very cool and after the game I got a certificate .,cool_1
259,cool,"On Saturday you will receive your ticket allocation for the shows , your very cool looking printed posters and we ’ll launch all of this year ’s recordings live on Soundcloud .",cool_1
260,cool,"Regardless of the supposed origins of the marque , the products looked cool and were getting favourable reviews online so we took the plunge and ordered some samples to evaluate .",cool_1
261,cool,"Sunday will be a mainly - sunny day , yet Baton Rouge neighborhoods will stay cool as afternoon readings will only climb into the upper 40s to low 50s .",cool_2
262,cool,"You can find cool , contemporary spaces , stylish interiors , and beautiful gardens at this Maldives honeymoon all inclusive resort .",cool_1
263,cool,A cool city and a great store .,cool_1
264,cool,"Variable power and temperature controls , plus a styling nozzle , allow you to tailor your blow - dry to your hair type , while a cool shot button helps you set your style in place with a blast of cold air .",cool_1
265,cool,One cool thing we learned while talking to our waitress is that the owners of the restaurant grow a lot of their own vegetables on their own property .,cool_1
266,cool,It is really modern and just a cool atmosphere - just what I like .,cool_1
267,cool,"Thus , coming to the new environment , I am so eager to meet cool people here and be friends with them .",cool_1
268,cool,Its silky rayon material delivers a silky luxurious fit and icy cool feel even on those hot summer days .,cool_2
269,cool,It ’s such a cool feeling when my body just kicks in and does what it ’s been trained to do .,cool_1
270,cool,"Store tightly sealed in a cool , dry place .",cool_2
271,cool,"Remove the hazelnuts from the oven , let cool for a few minutes so that they are cool enough to handle .",cool_2
272,cool,"Lake Travis is a beautiful lake with 44,000 acres of cool , clean clear water .",cool_2
273,cool,Jim Laurent over at Sun has a really cool post over on his blog about using a VMware Fusion hosted Solaris 10 virtual machine to play around with the open source ZFS file system and a trio of USB sticks to make a poor - man ’s Raid - Z array using USB sticks instead of actual hard drives .,cool_1
274,cool,"The advance in vine development during the first part of the year was soon offset by a dull , cool summer , resulting at the end of August in a worrying delay in ripening .",cool_2
275,cool,"We 're one of the few places in the US where you can get these cool tasting peppermint mints , so order them today .",cool_2
276,cool,"Adrenalynn : That was so cool that you graduated to J5 really uncanny though , he must have read your mind , he he .",cool_1
277,cool,"Pro tip : While most people know New Brohemia as the place to get cool pearl snap shirts and leather cowboy boots , they do n’t know about the shop ’s large selection of plus - sized and extra large clothing .",cool_1
278,cool,"The metal is always cool to the touch , even in the middle of the hottest summer .",cool_2
279,cool,"We are staying about 10 miles from Park City , which is super cool because they have a dog park .",cool_1
280,cool,"To ensure the maximum stand traffic possible , many will include fresh , new acts ; super cool schotzkes ; celebrity appearances ; market segment leaders with dynamite presentations ; and super - rehearsed / super - polished product / service demos .",cool_1
281,cool,small game room ideas for teenagers cool gaming rooms cool game room small gaming room ideas awesome game rooms small game room .,cool_1
282,cool,awesome kids rooms best of cool kids bedrooms decor plain decoration awesome boy bedroom ideas best about cool boys best of cool kids bedrooms kids rooms to go .,cool_1
283,cool,And then she got to grow in her range as she got older which was cool to see .,cool_1
284,cool,"For a way to stay fresh and cool , get this Casual Women 's Top offered by Madame .",cool_2
285,cool,Ethically sourced from Australia - it ’ll keep you warm in the winter and as cool as your date will think your new suit looks in the summer .,cool_2
286,cool,"Rachael : Walking out was so cool because we had all the [ support] … [the ] crowd was there , cheering us on , it was a whole different atmosphere than J.O , being able to have my team at my back .",cool_1
287,cool,""" Like oh my god this phone is so totally cool like it says Prada and stuff , like oh my god !",cool_1
288,cool,"Could you briefly explain how a "" cool core cluster "" forms or provide a link to a non - technical explanation ?",cool_2
289,cool,That 's so cool that SteemFest used the big banquet hall !,cool_1
290,cool,"From furniture to walls , new homes to remodels , cool grays have dominated home design palettes for the last five years .",cool_2
291,cool,"Storage : Store in a cool , dry place , under 16 degrees Celsius .",cool_2
292,cool,The staff is cool and helpful .,cool_1
293,cool,"But as you get lost in your computer screen , the soda can is way past the cool temperature you want it to be at .",cool_2
294,cool,"I probably would n’t have made a good Jax , but maybe Sindel ! ( laughs ) Stryker ’s cool because he ’s the human , and he was right in line with what I really liked , the guy who brings a gun to a fireball fight .",cool_1
