text1,text2,derived_pair,label
Besides the obvious allures — spending time at the pool is fun and a great way to keep [cool] in the warmer weather — there are many documented reasons why swimming is an excellent way to increase your overall physical conditioning .,cool: of or at a relatively low temperature,cooled keep,1
This necklace makes a beautiful keepsake in [hard] times of loss .,"hard: Firm, solid, resistant to pressure, tangible",hardened in,0
"If there is a light - weight , the blue wire must be connected on the [black] wire on the swap at the same time .","black: evil, bad, unsavory",blackened wire,0
The borough said the building ’s estimated market value of € 5.2 million ( $ 6.12 million ) would make it [hard] to earn enough money to justify the outlay without raising the rent by instigating a luxury conversion .,"hard: Firm, solid, resistant to pressure, tangible",hardened said,0
When I think of a [black] chandelier I am not just thinking of a totally black fixture .,"black: evil, bad, unsavory",blackened chandelier,0
"What happened to the [cool] , Fall weather ? ? ?",cool: of or at a relatively low temperature,cooled to,1
The bezel rim is [black] nickel as it says in description .,"black: evil, bad, unsavory",blackened nickel,0
"The G3 K 100 will be treated to the best hotels that each of our stopovers has to offer , top class service and some experiences en - route that will be [hard] to forget .","hard: Firm, solid, resistant to pressure, tangible",hardened be,0
"I agree , [hard] work putting your self out there like that ! !","hard: Firm, solid, resistant to pressure, tangible",hardened work,0
"The important point is to find one that lets you create your own "" [black] list "" of callers .","black: evil, bad, unsavory",blackened list,1
For over a year now I keep seeing or finding tiny tiny [black] specks on my skin .,"black: evil, bad, unsavory",blackened specks,0
"Of course , each couple is different , and there are no [hard] and fast rules to proposing .","hard: Firm, solid, resistant to pressure, tangible",hardened are,1
I think the best thing to do to buy a $ 300 bag and then cover it in [black] insulating tape .,"black: evil, bad, unsavory",blackened tape,0
"The lighting designer had too much of a fondness for shadows , IMO , which made it [hard] to read the actors ' lips occasionally , but that was only very occasionally necessary — in general , despite not using mics , everyone was easy to hear and understand .","hard: Firm, solid, resistant to pressure, tangible",hardened made,0
"Mercedes - Benz S 600 black sedan , [black] on the inside with DVD - player and bluetooth system .","black: evil, bad, unsavory",blackened S,0
Recording is hard work in any era but it was especially [hard] in this era .,"hard: Firm, solid, resistant to pressure, tangible",hardened was,0
"GTA IV : San Andreas is a [cool] mod for GTA IV which allows you to play enjoy the mystic city of San Andreas , the fantastic city that gave us hours , hours of gangs fun .",cool: of or at a relatively low temperature,cooled mod,0
You do n't have to break the skin .. just [hard] enough to get your point across being - biting hurts- they will get the message .,"hard: Firm, solid, resistant to pressure, tangible",hardened get,0
"Being able to recognize , to historicize that , and to think critically about that , and to not be complicit with the form of racism that says that we do n’t need to think when [black] people speak , I think is really important right now .","black: evil, bad, unsavory",blackened is,0
"We are staying about 10 miles from Park City , which is super [cool] because they have a dog park .",cool: of or at a relatively low temperature,cooled is,0
"When something ’s [hard] to talk about , it only gets harder the longer you put it off .","hard: Firm, solid, resistant to pressure, tangible",hardened gets,0
"I felt that the hat needed some [black] near the top to balance all the black at the bottom , so I made the top into a spiderweb as I decreased .","black: evil, bad, unsavory",blackened needed,0
"There are many couples that are interested in building an enormous centerpiece , which is extremely [hard] to ignore .","hard: Firm, solid, resistant to pressure, tangible",hardened is,0
"black and yellow , black and yellow , black and yellow , black and yellow , [black] and yellow .","black: evil, bad, unsavory",blackened black,0
Place in a [cool] place to ' relax ' .,cool: of or at a relatively low temperature,cooled place,1
"These women are leaders in their communities and truly elevating the conversation around [black] identity , politics and culture .","black: evil, bad, unsavory",blackened identity,0
"Recent studies have shown that many persistent organic pollutants ( POPs , e.g. , polychlorinated biphenyls ( PCBs ) , polycyclic aromatic hydrocarbons ( PAHs ) and various pesticides ) , are strongly associated with carbonaceous materials ( including organic carbon ( OC ) and [black] carbon ( BC ) ) .","black: evil, bad, unsavory",blackened carbon,0
"We do n’t blame you , it ’s a pretty [cool] name .",cool: of or at a relatively low temperature,cooled name,0
On [black] politics and politicians .,"black: evil, bad, unsavory",blackened politics,0
Come [cool] down at the water playground on a hot summer day .,cool: of or at a relatively low temperature,cooled Come,1
""" Like oh my god this phone is so totally [cool] like it says Prada and stuff , like oh my god !",cool: of or at a relatively low temperature,cooled says,0
"These are angles in degrees , 0 is horizontal , 90 is straight up , so you can see the red ( R ) arm is up , and the [black] ( B ) is horizontal .","black: evil, bad, unsavory",blackened [,0
and they look [cool] too ! !,cool: of or at a relatively low temperature,cooled look,0
We chip them down and remold them into new [black] pots in a closed recycling loop .,"black: evil, bad, unsavory",blackened pots,0
"However , it does not make any changes to the operating system already installed on the [hard] disk , SSD or flash storage – UD Pocket runs entirely from the USB stick .","hard: Firm, solid, resistant to pressure, tangible",hardened disk,1
"We take a new Class 1 Class C , E and G [hard] hat and each hat is prepared and dipped one a a time .","hard: Firm, solid, resistant to pressure, tangible",hardened hat,1
"Once outside , very [hard] to get her to come to us and to come in .","hard: Firm, solid, resistant to pressure, tangible",hardened hard,0
"Most [black] holes are thought to be surrounded by a swirling disk of matter , joined by jets of energy shooting out of the black hole in opposite directions .","black: evil, bad, unsavory",blackened thought,0
"If you want to make the fresh straws last even longer , the company 's website suggests boiling the straws with some salt , letting dry , and then storing in a [cool] dry place .",cool: of or at a relatively low temperature,cooled place,1
"A unit that offers up to 500 GB is normally more than sufficient for most home and small business surveillance needs , making it unnecessary to spend more money purchasing a larger [hard] drive .","hard: Firm, solid, resistant to pressure, tangible",hardened drive,1
Spray the [black] textured Gravel Guard over the epoxy ( choose a dry day for this ) .,"black: evil, bad, unsavory",blackened textured,0
"This is a moisturizing gel to be used when paw pads have become dry and rough or during periods when the surface tissue in paw pads tends to become [hard] , such as the dry winter season .","hard: Firm, solid, resistant to pressure, tangible",hardened become,1
"It 's [hard] to tell , is different for everyone .","hard: Firm, solid, resistant to pressure, tangible",hardened 's,0
"If you 're like me with a more adventurous gardening style , I 'd recommend making a miniature forest with a row of [black] spruce tips .","black: evil, bad, unsavory",blackened of,0
"One to Watch ( Lakers ) – With the spotlight on James for his home debut in Hollywood , it will be [hard] for anyone to take their eyes off the four - time MVP .","hard: Firm, solid, resistant to pressure, tangible",hardened be,0
"From morning jogs to weekend hiking adventures , design your own water bottle to accompany you and keep you hydrated and looking [cool] at the same time .",cool: of or at a relatively low temperature,cooled keep,0
"Their communication primarily comes from body language : they 'll turn their head or body away to indicate they 're not so [cool] with this invasion , or they may even try to move away .",cool: of or at a relatively low temperature,cooled turn,0
"The EDX spectrum of the black color layer only shows the emission peak related to the Carbon , which seems to indicate the presence of a carbon [black] pigment used for the decoration .","black: evil, bad, unsavory",blackened pigment,0
"The technicolor was so ugly , everything was so unpleasant to look at , especially the obnoxious browns and oranges , that I simply watched it in [black] and white .","black: evil, bad, unsavory",blackened in,0
"When washing your wigs , you have to use [cool] water and gentle shampoo .",cool: of or at a relatively low temperature,cooled water,1
"Grab this [cool] web - tool and create a bright , awesome , responsive and mobile - friendly website .",cool: of or at a relatively low temperature,cooled tool,0
"This bag features [black] smooth leather with silver - tone hardware , single flat shoulder strap , Gommino accents at base , tonal woven lining , single zip pocket at interior wall and zip closure at top .","black: evil, bad, unsavory",blackened leather,0
"Yes , this Seagate ST3160813AS [hard] drive can qualify for the $ 60 hard drive Repair Service .","hard: Firm, solid, resistant to pressure, tangible",hardened qualify,1
My invites came about a week later and I was quite happy with them - even with [black] ink .,"black: evil, bad, unsavory",blackened ink,0
It 's 94 % humidity and a [cool] 21 degrees Celcius .,cool: of or at a relatively low temperature,cooled degrees,1
It is designed with a flared frame and cushion leading amrests in a [cool] cobblestone grey .,cool: of or at a relatively low temperature,cooled grey,1
These same public relations firms often discourage their [black] clients from working with black - owned media companies and advertising with the Black Press .,"black: evil, bad, unsavory",blackened clients,0
"I hit hard , [hard] enough for the breath to be knocked out of me .","hard: Firm, solid, resistant to pressure, tangible",hardened [,0
Now West Kirby had taken it out of me and I could n’t push as [hard] for the second class and I only ended up taking in half a bottle of water .,"hard: Firm, solid, resistant to pressure, tangible",hardened as,0
"That should n't be so [hard] , right ?","hard: Firm, solid, resistant to pressure, tangible",hardened be,0
"The first step in recovering from a data loss is to ascertain whether the loss is a result of a physical [hard] drive failure , i.e. broken hardware ; or , a logical drive failure , i.e. corruption or loss of File System .","hard: Firm, solid, resistant to pressure, tangible",hardened drive,1
"Note that competitor data may be [hard] to come by , so it may require looking at comps in a similar or equal product category .","hard: Firm, solid, resistant to pressure, tangible",hardened be,0
"Now , [black] smokers are known to exist in the Atlantic and Pacific Oceans , at an average depth of 2100 metres .","black: evil, bad, unsavory",blackened known,0
Trendir is a [cool] collection of modern everything from furniture to architecture and interior design .,cool: of or at a relatively low temperature,cooled collection,0
"Repeated testing in gardening magazines and TV gardening shows have come up with results that favour bypass bladed pruners for delicate stems or prize plants , while anvil secateurs may have a slight advantage for [hard] woody stems where getting maximum force is the issue .","hard: Firm, solid, resistant to pressure, tangible",hardened for,1
It ’s [hard] to know how to comfort someone when they ’ve lost a loved one and this can be the case whether the person is a close friend or family member or just an acquaintance .,"hard: Firm, solid, resistant to pressure, tangible",hardened [,0
"To ensure the maximum stand traffic possible , many will include fresh , new acts ; super [cool] schotzkes ; celebrity appearances ; market segment leaders with dynamite presentations ; and super - rehearsed / super - polished product / service demos .",cool: of or at a relatively low temperature,cooled schotzkes,0
"If it was not for [black] researchers would we ever hear about black inventors , no , it is not for white interest , though it is for global interests .","black: evil, bad, unsavory",blackened for,0
The only time since then that it has been installed again was when my [hard] drive corrupted and I brought my software disks to the repair shop and they reinstalled it for me .,"hard: Firm, solid, resistant to pressure, tangible",hardened drive,1
"2D Art : We want [cool] illustrations , abstract paintings , awesome comics , and interesting photography .",cool: of or at a relatively low temperature,cooled illustrations,0
These are really [cool] looking .,cool: of or at a relatively low temperature,cooled are,0
"The strollers have an aluminum alloy grey or black frame with a black fabric toddler seat , a colored fabric sunshade canopy , and a [black] basket under the seat .","black: evil, bad, unsavory",blackened basket,0
"When families face financial difficulties due to illness , job loss , or divorce , an equity cushion often allows them to get through the [hard] times by borrowing needed funds or even selling the house .","hard: Firm, solid, resistant to pressure, tangible",hardened through,0
Ultra Violet Black Light – The UV black light emits long wavelengths of [black] lights that is used for testing the whiteness of the products .,"black: evil, bad, unsavory",blackened lights,0
"( If your screen goes pitch [black] during this process , hit the space bar .","black: evil, bad, unsavory",blackened hit,0
"if my storage drive is even detected by my PC again , the [hard] drives issues might get in my way anyway .","hard: Firm, solid, resistant to pressure, tangible",hardened drives,1
"All of our falcons have [black] eyes , that is the pupil and the iris are the same dark color .","black: evil, bad, unsavory",blackened eyes,0
"People are advised to wear protective glasses , but as far as pets are concerned , vets say they ’ll be pretty [hard] to keep on your animal .","hard: Firm, solid, resistant to pressure, tangible",hardened advised,0
"Researchers captured the extreme frame dragging by analyzing X - rays emanating from a disk of star debris swirling around a [black] hole about 28,000 light - years away in the Milky Way .","black: evil, bad, unsavory",blackened hole,0
"Neither black holes nor neutron stars are expected to form below ~ 1 solar mass through conventional stellar evolution , though it has been proposed that similarly low mass [black] holes could be formed primordially through density fluctuations in the early universe .","black: evil, bad, unsavory",blackened formed,0
"And , if your child is more the violin type ( that ’s [cool] too ! )",cool: of or at a relatively low temperature,cooled cool,0
""" As long as you are n't getting booed , though , that 's [cool] .",cool: of or at a relatively low temperature,cooled 's,0
"Though [hard] work requires dedication , it will pay off in the end in the form of success .","hard: Firm, solid, resistant to pressure, tangible",hardened requires,0
"Given the facts that the German government is not willing to permit fracking , that it is uncomfortable with its dependence on Russia for natural gas , and that it is strongly against fossil fuels in general , it is [hard] to imagine large - scale development of any sort of fossil fuel plants in the country .","hard: Firm, solid, resistant to pressure, tangible",hardened is,0
The screen turns [black] on random occasions where sometimes nothings is visible and sometimes you might be able to see the cursor but the background wallpaper is completely black .,"black: evil, bad, unsavory",blackened turns,0
The mold is typically [hard] to identify .,"hard: Firm, solid, resistant to pressure, tangible",hardened is,0
They offer equally as [cool] hostel rooms at just as affordable prices .,cool: of or at a relatively low temperature,cooled rooms,0
"I did n’t get to where I am as a wonderful artist , but as a person who is [hard] on himself and tries to achieve higher goals .","hard: Firm, solid, resistant to pressure, tangible",hardened is,0
"Only [hard] copies : Stradivari ’s Genius by Toby Farber ( which I ’m reading again for the third time ) and The Silmarillion by J.R.R.Tolkien ( which is hauntingly beautiful and despite having read it several times , I can never put it down ) .","hard: Firm, solid, resistant to pressure, tangible",hardened copies,1
I have just been through this as the Field Marshall bought an old [black] bakerlight phone for the front room and I had to get it to match our wiring .,"black: evil, bad, unsavory",blackened phone,0
How [cool] is that ? !,cool: of or at a relatively low temperature,cooled is,0
"Taking on a bad project — or a [hard] client — costs more in the long run , as you ’ll constantly have to hound the client for payment , prove your worth , and argue against incessant design changes .","hard: Firm, solid, resistant to pressure, tangible",hardened client,0
zebra bedroom ideas decorating [cool] photos decorated on wall for teenage girl beautiful white study desk animal print i.,cool: of or at a relatively low temperature,cooled photos,0
"Most succulents usually have very shallow root systems , so they can be made into very [cool] and creative arrangements around the house or for weddings , such as making a vertical garden or using a glass container to make a mini succulent terrarium .",cool: of or at a relatively low temperature,cooled made,0
She has been our friendly “ front of house ” for 10 years and will be a very [hard] act to follow !,"hard: Firm, solid, resistant to pressure, tangible",hardened act,0
You need to be reminded that there will be different specifications of various internal [hard] drives .,"hard: Firm, solid, resistant to pressure, tangible",hardened internal,1
Rose symbolically illustrates those of the [black] community that seek change so desperately that they incite said change in their forgetfulness .,"black: evil, bad, unsavory",blackened community,0
""" We enthusiastically recommend Dave to anyone who wants a thoughtful , resourceful and [hard] -working representative . ""","hard: Firm, solid, resistant to pressure, tangible",hardened thoughtful,0
There are dual - tone [black] / beige dash and beige seats and door pads .,"black: evil, bad, unsavory",blackened black,0
"It could be "" just millions of years between stars and [black] holes , "" says Burns , "" could be a fair bit shorter than that . ""","black: evil, bad, unsavory",blackened holes,0
It ’s [hard] to bring home the bacon on tests these days .,"hard: Firm, solid, resistant to pressure, tangible",hardened [,0
"Some things are dated , such as the flat and largely [hard] - plastic - containing dashboard and the single color tone that flows from seating to flooring to dash .","hard: Firm, solid, resistant to pressure, tangible",hardened dashboard,1
Hard Drive & Disk Drive : Avoid using the [hard] drive and disk drive excessively .,"hard: Firm, solid, resistant to pressure, tangible",hardened drive,1
"I vowed earlier in the year to get back on track with Slimming World as not to waste all my [hard] work in previous years and here I am , mid - April heavier than I have been in a long time and I do n’t like it , one little bit .","hard: Firm, solid, resistant to pressure, tangible",hardened work,0
"Yet , it was clearly every bit as much fun for the actors and it was immensely [hard] to tell if the original Commitments , which enjoyed some chart success , even though they were created for a film of the same title in the early-1990s , had been reformed , or it was just a bunch of talented actors , playing their hearts out and doing the musical turns too .","hard: Firm, solid, resistant to pressure, tangible",hardened was,0
"My wife was in agony already , and it was really [hard] to watch her go through the pain of contractions .","hard: Firm, solid, resistant to pressure, tangible",hardened was,0
"For a way to stay fresh and [cool] , get this Casual Women 's Top offered by Madame .",cool: of or at a relatively low temperature,cooled For,1
"It ’s been a long , [hard] road .","hard: Firm, solid, resistant to pressure, tangible",hardened road,0
"Frankie Manning ’s video tapes old [black] and white movies , swing festivals in England Sweden Germany and plenty of dreams .","black: evil, bad, unsavory",blackened tapes,0
Adding a sword takes seconds and you can share your [cool] sword battle scenes soon after you take a picture .,cool: of or at a relatively low temperature,cooled battle,0
"in daily life we see various blacks : blueish black , purple [black] , brownish black .","black: evil, bad, unsavory",blackened blacks,0
Igloo is one of the world ’s leading cool box manufactures meaning you can keep your food [cool] on ice in confidence .,cool: of or at a relatively low temperature,cooled is,1
"When a pet is sick or ill , it can be [hard] to receive the care they need without the stress of high veterinary bills .","hard: Firm, solid, resistant to pressure, tangible",hardened be,0
"No I have never used the clip the way it is advertised on the streamlight website I have never clipped it to my cap , but having the option is [cool] I guess .",cool: of or at a relatively low temperature,cooled is,0
The Vamps insist it is [hard] to date '' normal girls '' .,"hard: Firm, solid, resistant to pressure, tangible",hardened is,0
"In a comparison of whites and African Americans , 55 percent of the white parents and 70 percent of the [black] parents said they coslept with their babies .","black: evil, bad, unsavory",blackened of,0
They are all looking for a awesome online partner to share some giggles in a [cool] chat conversation .,cool: of or at a relatively low temperature,cooled a,0
"The [cool] purposes that it has attracts people from all walks of life – professors , architects , engineers and builders , security forces and even youngsters .",cool: of or at a relatively low temperature,cooled purposes,0
"The dual - processor system is an awesome machine , especially when you consider that its predecessor , which sported two 800MHz processors , cost $ 500 more , with half the RAM , a smaller - capacity [hard] disk , and a lesser video card .","hard: Firm, solid, resistant to pressure, tangible",hardened disk,1
Unfortunately for Schumer all his [hard] work appears to be coming back to bite him in the rear hurting his reputation not helping it .,"hard: Firm, solid, resistant to pressure, tangible",hardened work,0
"In the [black] color of the tires she sees African skin , and the patterned treads represent tribal designs .","black: evil, bad, unsavory",blackened color,0
"AS far as concern , Benjamin is born from a white mother and the [black] father who was brought in the foster home .","black: evil, bad, unsavory",blackened father,0
"I think the rather remarkable conclusion that the 1982 amendments to the Voting Rights Act made unlawful a plan adopted by the District Court , which plan the District Court had adopted with a view to the requirement that "" the state deal fairly with its [black] citizens by avoiding any scheme that has the purpose or effect of unnecessarily minimizing or fragmenting black voting strength , "" 541 F.Supp . , at 1143 , should receive plenary review by this Court .","black: evil, bad, unsavory",blackened citizens,0
I particularly like the [cool] 812.5 years ROI on double glazing .,cool: of or at a relatively low temperature,cooled [,0
"While [black] girls represent 20 percent of preschool enrollment , 54 percent of preschool girls suspended once or more were black .","black: evil, bad, unsavory",blackened represent,0
Paris is a magnificently groomed and ready to play [black] poodle .,"black: evil, bad, unsavory",blackened poodle,0
"You ’ll surely find it [hard] to find the best doctor for your disease but by knowing where to start or what expert to look for , there ’s no doubt that you ’ll surely be able to improve your chances of success in this search .","hard: Firm, solid, resistant to pressure, tangible",hardened find,0
"Once again , written materials are [hard] to come by , especially in Africa where the art of writing started late .","hard: Firm, solid, resistant to pressure, tangible",hardened are,0
"Your declaration may leave an indelible mark on your credit history that is [hard] to entirely escape , but remember , you are not the only one .","hard: Firm, solid, resistant to pressure, tangible",hardened is,0
"Although the game is n't Kinect compatible , there are some other [cool] features that the game has to offer , read on in our review to find out whether this game is as bad as it may sound .",cool: of or at a relatively low temperature,cooled [,0
In Mobile [black] plaintiffs had brought an action challenging the constitutionality of the city 's at - large method of electing its commissioners .,"black: evil, bad, unsavory",blackened brought,0
An obstacle rarely ever seems [hard] when I have my best friend ’s support to carry me through .,"hard: Firm, solid, resistant to pressure, tangible",hardened seems,0
Chandelier also looks beautiful with the design of all [black] furniture with lamps .,"black: evil, bad, unsavory",blackened furniture,0
"Phenotypically , the Parkote buffalo are dark in coat color and medium built body size , with sword - shaped horns directed laterally or towards the back of the body ( Rasali , 1998 ; Pradhan et al . , 1996).They have black coat color ; [black] skin color ; black muzzle ; black eye brow ; usually no leg markings ; and chevron marks absent ( Rasali et al . , 1998 ) .","black: evil, bad, unsavory",blackened color,0
"Insulating , they act as a thermoregulator for your temperature , so that your skin remains [cool] in summer and warm in winter .",cool: of or at a relatively low temperature,cooled remains,1
Whoever does the plots is standing on the shoulders of many [hard] working scientists .,"hard: Firm, solid, resistant to pressure, tangible",hardened scientists,0
But let ’s go back to when some rally [cool] stuff was performed .,cool: of or at a relatively low temperature,cooled stuff,0
"Everything you need to know about setting up black lights , games to play under [black] lights , costumes to wear and so much more .","black: evil, bad, unsavory",blackened lights,0
"I thought from the very first night as an assistant DJ that this was not only something I could do well for my brides , grooms and their guests , but how [cool] would it be to offer some really fun , personalized touches unique to them , to make their night that much better ?",cool: of or at a relatively low temperature,cooled be,0
It 's [hard] to provide a good review and notice something is missed on an engineering report if you have no background in engineering .,"hard: Firm, solid, resistant to pressure, tangible",hardened 's,0
Sony have made it incredibly easy for you to replace and upgrade the internal [hard] drive .,"hard: Firm, solid, resistant to pressure, tangible",hardened drive,1
"“ We ’re the only major city in a wide radius , so it might make sense to spread out , but it ’s [hard] to develop a vibrant culture if you just keep sprawling , ” she said .","hard: Firm, solid, resistant to pressure, tangible",hardened [,0
"macOS intelligently manages what goes where , using the SSD storage for files you access frequently and keeping the rest of your digital life on the roomier [hard] drive .","hard: Firm, solid, resistant to pressure, tangible",hardened drive,1
Unfortunately also the franchise industry is not immune to [black] sheep ” .,"black: evil, bad, unsavory",blackened sheep,0
"While we ’d hope that if we had to spend the night in the woods , it would be nothing but clear skies and perhaps just a bit [cool] , the reality is you are just as likely to be sitting in the middle of a steady rain with not a dry twig in sight for the evening fire .",cool: of or at a relatively low temperature,cooled bit,1
"That looks great Room 15 , the ANZAC art is so [cool] and I love the dyed backgrounds .",cool: of or at a relatively low temperature,cooled is,0
Even the ladies ’ room was fabulous : red walls contrasted beautifully with the black and white marble with [black] trim on the doors .,"black: evil, bad, unsavory",blackened with,0
"These small glass vials offer versatile options in dispensing through pouring directly from the glass vials with orifice reducers for added control , or with [black] bulb glass droppers .","black: evil, bad, unsavory",blackened droppers,0
"That was just the cool part , the really [cool] part ?",cool: of or at a relatively low temperature,cooled part,0
"The fabric features an exceptional softness both in its hand and silhouette , lending a relaxed feel to the ensemble while a contrasting [black] interior , showcased on the lapels , is perfectly complemented by the maxi - stripe angora scarf underneath .","black: evil, bad, unsavory",blackened interior,0
"Without strong headings as organization , it is [hard] to find what kind of work you have done on which projects .","hard: Firm, solid, resistant to pressure, tangible",hardened is,0
This [cool] earrings from Marc by Marc Jacobs is a really good if you need to pep up your everyday look .,cool: of or at a relatively low temperature,cooled earrings,0
