target,sentence,label
hard,"We are making a Law that all Debts due from Government shall be liquidated to their just Value , and then to have Interest allow'd annually in [hard] Money or Paper equivalent .",hard_3
hard,"It is [hard] for us as Americans to feel as much pain on Sept. 11 when remembering the attacks that happened 15 years ago , because similarly awful terrorist attacks are occurring in the present .",hard_1
cool,Glad to meet you ; Billy is a [cool] guy .,cool_1
cool,"In the early 1950 ’s after the introduction of the Lp , the most progressive American cover designs were created for jazz albums , and Mr. Goldblatt was among the pioneers in establishing the [cool] - jazz style .",cool_1
cool,"He helped bring things back to the essence of proper , pure trance music without the harder more aggressive EDM , dubstep and house influences that were prevalent in ' trance ' music at the time and made it [cool] to be un - cool again .",cool_1
cool,Your kids spend a lot of time at school doing [cool] things .,cool_1
cool,"While a [cool] find , it 's missing the most key part to a Whizzer , the drive mechanism .",cool_1
cool,"The idea of putting your dog in your bag and taking off to the grocery store seems [cool] and very on trend , but is there another side to the story ?",cool_1
hard,Tiny Gold Concentration Machine for [hard] rock gold mine mining .,hard_3
cool,"Could you briefly explain how a "" [cool] core cluster "" forms or provide a link to a non - technical explanation ?",cool_2
hard,It can also cause corruption head on the [hard] drive .,hard_3
cool,"Fans are [cool] ( get it ? ) and stuff , but they ’re preposterously directional .",cool_1
cool,Another reason succulents are so [cool] is their medicinal uses .,cool_1
cool,"In any case , store your olive oil sealed , in a [cool] dark location .",cool_2
cool,"If you were known as the [cool] guy or gal before , wait till you arrive at the prom venue in a limo and impress everyone even more .",cool_1
cool,"If bleach comes in contact with eyes or skin , flush the area with [cool] water for 15 to 20 minutes .",cool_2
cool,"Another [cool] related site is breathingearth.net , which shows CO2 emissions , births , and deaths in simulated real time around the world .",cool_1
cool,The lily ozone and lively [cool] weather can be touched here throughout the year particularly during the nighttime .,cool_2
cool,"Kirin Ichiban ’s machine turns beer into a slushie that you can then use to top off a glass of beer , helping it stay [cool] for up to 30 minutes longer .",cool_2
hard,"It ’s [hard] to break into any industry , especially one as competitive as tech , or coding .",hard_1
hard,""" We enthusiastically recommend Dave to anyone who wants a thoughtful , resourceful and [hard] -working representative . """,hard_2
cool,"The partnership with Just Shot Shop , is base don the fact that we will drive their choice to purchase fashion items , and even develop them till they will become also a super [cool] window for so many young fashion brand under our creativity and supervisor .",cool_1
hard,"In 1999 , the working group "" Hard metals "" of the German industrial union for powder metallurgy suggested a classification of WC - Co [hard] metals according to grain size , which is today accepted worldwide .",hard_3
cool,This is a spot for the [cool] crowd who likes the idea of BBQ but if you are a fan of Henry ’s or Bucky ’s you might feel cheated by the portion sizes here .,cool_1
hard,Once the slide begins it can be [hard] to arrest .,hard_1
cool,It does sound weird to recommend a whitening shampoo but the Whitening Shampoo does not lighten but in fact adds cool tones and this tonal quality will assist in camouflaging the red / brown tones from the coat which are more evident as the coat has faded and lost the [cool] hues of the coat colour .,cool_2
hard,"It takes [hard] work , dedication , and emotional resilience but you can do it !",hard_2
cool,Summer weather has begun and it ’s starting to become difficult to stay [cool] through long warm summer days .,cool_2
hard,"There was n’t a [hard] transition to this tennis string , it was very easy to make the switch .",hard_1
cool,"However , these regions have another important factor ; the nighttime temperatures and [cool] morning fog allow the acidity in the grapes to flourish .",cool_2
cool,Its silky rayon material delivers a silky luxurious fit and icy [cool] feel even on those hot summer days .,cool_2
cool,"Besides being breathable , lightweight , and sweat absorbing , this silky material offers a luxurious fit and icy [cool] feel even on those hot summer days .",cool_2
cool,In Iowa you never run out of outdoors [cool] things .,cool_1
hard,It is very [hard] to feminize and to force male flower production on the female plant .,hard_1
cool,"In daily stop and go , no other after cooling solution is as effective as the air to water in generating a [cool] and steady intake temp .",cool_2
hard,"It would not be [hard] to find thousands of examples in the books of the Prophets in which lead , earth , gold , and salt speak of human virtues and vices .",hard_1
hard,We have made a very [hard] effort to assure that they participate .,hard_2
hard,But this will be a great starting point especially if you have a [hard] time writing .,hard_1
hard,"Sure , you can score a few kills for yourself by going it alone , but all you Rambo types are going to have a [hard] time being an effective part of the larger offensive unless you learn to coordinate with your squadmates .",hard_1
hard,"And in China if you are doing transaction based market place , it is [hard] to get the transaction fee .",hard_1
cool,I was convinced the palette was both too [cool] and too muted for me .,cool_2
cool,"Thanks for churning out the essential , dependable , educational and in addition [cool] tips about that topic to Kate .",cool_1
cool,"We have renovated most of them to top standard , and best of all ; they are full of [cool] people , just like yourself !",cool_1
cool,The breeze was [cool] enough to be pleasant .,cool_2
cool,"When washing your wigs , you have to use [cool] water and gentle shampoo .",cool_2
cool,Trendir is a [cool] collection of modern everything from furniture to architecture and interior design .,cool_1
cool,"Store in a [cool] , dry place , tightly sealed .",cool_2
cool,Pumpkin Spice Donuts are a treat on [cool] winter days !,cool_2
cool,The infinity scarf make it the most fashionable and [cool] scarf you can find !,cool_1
hard,"No one wants to see all their [hard] work go to waste , especially when it comes to baking .",hard_2
hard,"It ’s a [hard] lesson for Nasha ( Anna Lee ) , who misdirects the Gestapo soldiers during his escape and hides him when the area is cordoned off at curfew , then chooses to turn him in when her father ( Walter Brennan ) , a scholar who clearly knows more about the resistance than he voices , is arrested as a hostage .",hard_1
hard,The [hard] plastic protects its content well and usually I do n’t even have to worry about dropping a palette .,hard_3
hard,"That sounds [hard] to believe for a player who permanently had a smile on his face and appeared to ooze confidence , yet the Trinidad and Tobago legend regularly utilised the technique throughout his four seasons as a Red , in which he scored 66 goals in 152 appearances , winning six major trophies .",hard_1
hard,It can be [hard] to put your own flaws and experiences out on display .,hard_1
hard,"Some things are dated , such as the flat and largely [hard] - plastic - containing dashboard and the single color tone that flows from seating to flooring to dash .",hard_3
hard,"macOS intelligently manages what goes where , using the SSD storage for files you access frequently and keeping the rest of your digital life on the roomier [hard] drive .",hard_3
cool,"Honestly , I think it would be [cool] to experiment with an auto - tune .",cool_1
hard,"“ We ’re the only major city in a wide radius , so it might make sense to spread out , but it ’s [hard] to develop a vibrant culture if you just keep sprawling , ” she said .",hard_1
cool,"Today 's recipe is a refreshingly [cool] drink to beat the heat , Watermleon Lemonade .",cool_2
hard,"You also get 8 GB of RAM and a 1 TB [hard] drive in the same case as the Mini - I. Finally , the LAN III Commander edition bumps the processor up to a Core i7 - 3820 and the graphics card to a GeForce GTX 670 and replaces the hard drive with a 128 GB solid state drive .",hard_3
cool,"Extremely quiet and [cool] running , this unit maintains a small footprint .",cool_2
hard,"Who would 've thunk that it would be so [hard] to take outfit pictures w / a toddler , huh ?",hard_1
cool,"We do n’t blame you , it ’s a pretty [cool] name .",cool_1
hard,Depth and sensitivity can come along as a result of the [hard] times he / she have faced .,hard_1
cool,"In the fourth episode of The Email Design Podcast , hosts Kevin Mandeville and Jason Rodriguez discuss a whole lot of Gmail , the future of Android email clients , a [cool] new app from MailChimp , and take a look back at their test episode .",cool_1
cool,Let [cool] for 30 minutes in the pan on a rack .,cool_2
cool,"If you prefer a [cool] , hardwood floor under foot opt for a timber or laminate floor or even vinyl flooring in warm woodgrain hues .",cool_2
cool,"Bunk beds are pretty [cool] in concept , and when you add a chic rustic touch of design , they get even cooler .",cool_1
hard,"The phone is perfectly designed to help those with hard of hearding disabilites , those with dementia who struggle remembering , or those with physical disabilities that make it [hard] to use a traditional number pad .",hard_1
hard,Knowing that I took the run not too [hard] .,hard_2
cool,"There are so many stitches , it was [cool] to be able to use them !",cool_1
hard,"Though [hard] work requires dedication , it will pay off in the end in the form of success .",hard_2
cool,"A little Italian gem on the beach , Posada Margherita is a seductive mix of casual and [cool] .",cool_1
cool,"After you 've done a few rows , sprinkle with raspberry dust and let [cool] completely ( about 2 hours ) .",cool_2
cool,"For as long as the question has existed , the Catholic Church has had a [cool] or mixed attitude towards capitalism , always quicker to offer precautions than unreserved praise : the common good precedes individualistic pursuit of wealth ; employers have a duty out of justice to provide workers with a living wage and not just treat them as cheap machinery ; private property is not an absolute right , but contingent upon whether the basic needs of others have been met .",cool_2
cool,Pretty [cool] version .,cool_1
hard,It would be [hard] to find a town on Queensland ’s Sunshine Coast that is more charming than Montville .,hard_1
cool,Let [cool] on a wire rack and enjoy !,cool_2
cool,Fabric gives [cool] feeling after biopolishing .,cool_2
cool,And a martini glass with some water and ice in it if you want to get the martini glass nice and [cool] before you actually serve the drink .,cool_2
cool,"Brown patch on [cool] season grasses requires thes items : Water , heat , warm nights , humidity .",cool_2
cool,"In March of 2013 , the City of Los Angeles Department of Building and Safety got a directive from Mayor Villaraigosa to begin drafting new regulations requiring [cool] roofs throughout the city .",cool_2
cool,"Storage : Store in a [cool] , dry place , under 16 degrees Celsius .",cool_2
hard,I had a [hard] time with the dark shadow areas .,hard_1
cool,Fortnite VBucks Cheats 2018 has latest built in features and as a bonus we added some [cool] tricks that will be described in notes.txt file after installation .,cool_1
hard,Rapper Wiz Khalifa mixes [hard] work with weed anthems for San Jose concert .,hard_2
cool,RED : Red can be very difficult to paint with because so many redpigments have [cool] overtones which are n't apparent until youtry to mix them with other colors .,cool_2
hard,"The files are most likely still there , and are just marked as deleted ( but wo n't actually be deleted until other data is saved to the same location on the [hard] drive ) .",hard_3
cool,"The [cool] purposes that it has attracts people from all walks of life – professors , architects , engineers and builders , security forces and even youngsters .",cool_1
cool,"Starting out as a pretentious too - [cool] - for - school type who constantly drops names of various philosophers ( while not quite getting their ideas right ) , the powers give him a new found confidence and an ironic doorway to the movie - tale life he seeks .",cool_1
cool,That 'd be [cool] .,cool_1
hard,"We do make them on a shallow oval shape , different to other handmade wigs , to ensure the best possible fit on multiple head types ; but our wigs are made with a [hard] cap that has little to no give , and we can not be held responsible should your wig not fit properly .",hard_3
hard,which is quite [hard] to answer .,hard_1
cool,"While 75 % of our guests are completely happy to enjoy an unstructured windjammer vacation , we do offer some pretty [cool] specialty cruises .",cool_1
hard,"It is [hard] to tell whether property prices will continue to rise until a recession knocks them down , or i f a rise in interest rates creates a much softer landing .",hard_1
hard,"Firstly , they have an internal [hard] drive with storage capacity of 50Gigabytes to eecord and store TV programs at your convenience .",hard_3
hard,"When families face financial difficulties due to illness , job loss , or divorce , an equity cushion often allows them to get through the [hard] times by borrowing needed funds or even selling the house .",hard_1
cool,It is important to ensure that the hat you are selecting has perfect ventilations to provide your head with [cool] air .,cool_2
cool,""" soo it looks pretty [cool] but , it slows down my whole kindle . """,cool_1
hard,"As the parable of the unmerciful judge teaches ( Luke 18:1–8 ) , Abraham ’s action teaches us that we may properly press God [hard] with fervent persistence when we bring our desires before Him .",hard_2
hard,RT : Why has it been so [hard] for Washington to sell to the world its case for intervention ?,hard_1
hard,"There are many couples that are interested in building an enormous centerpiece , which is extremely [hard] to ignore .",hard_1
hard,"While many Thais like their durians harvested early so the interior is still [hard] and can be neatly handled , I like an over - ripened durian , which has the consistency of cottage cheese .",hard_3
hard,"If the lice are allowed to continue breeding , the outbreak of lice will become [hard] to stop .",hard_1
cool,"The updated kitchen feels fresh with white cabinets and walls , [cool] gray granite counters , stainless steel appliances , statement light fixtures and an eat - at island .",cool_2
hard,"We stand behind each and everyone one of our custom home builds , and love that people , other than the homeowners , have a chance to see some of our [hard] work .",hard_2
cool,"November rainfall is even less around 50 mm and itâs another great month , though it sees the first [cool] temperatures with night time lows dropping to single figures .",cool_2
cool,I also think TABULAR through powerpivot is such a [cool] thing because there are heaps of analysts that have been doing this in years in Access and Excel and this should make life sooooo much easier .,cool_1
cool,"It provides you the [cool] air you need for a more comfortable feeling , and when it comes to air conditioners the Koldfront PAC1401W Ultracool 14,000 BTU Portable Air Conditioner is the best choice .",cool_2
cool,"The supplies for a [cool] home plan will probably be slightly totally different from a standard house , as a result of insulating materials shall be prevented .",cool_2
hard,"I guess I still need to wait a couple of years and meanwhile I will try as hard as I can do improve my skills on the topics I passionate about , without being [hard] on myself for not being able to do it full time .",hard_2
cool,Genting Highlands is a [cool] hill station set amidst the cool mountain air and a majestic 100 million - year - old rainforest .,cool_1
cool,"The deal is a win - win situation - the shop gets a [cool] lamp they can display in their space , and Kinetic Additions gets exposure for their product .",cool_1
hard,The [hard] places discipline us under His careful watch and lead us to say yes to His yes instead of shaking our heads in defiance .,hard_1
cool,"Being a resident nerd , I was n’t exactly in the same scene of private parties that the [cool] kids went to .",cool_1
cool,"It ’s [cool] to visit a business where you can just walk into the workshop to be greeted by the owner working on his own car on the ramp , and is happy to have a chat with anyone that takes a bit of interest in the car .",cool_1
hard,Your [hard] work is not in vain .,hard_2
cool,Spring is that time of the year when the joys of the human heart are replenished every evening when the [cool] breeze caresses the face and the heart just knows that there 's something great about to befall its way .,cool_2
cool,You could also ask a lot more suggestions from buddies who had skilled in making a [cool] bedroom .,cool_1
hard,"I 'm also having a very hard time landing + , dash , + against Jeff from any stance , way too [hard] to be listed as a consistent combo on him IMO .",hard_1
cool,"When the chicken is [cool] enough to handle remove all the breast meat , leg and thighs keep the flesh in big pieces so it does not dry out , cover with plastic wrap , refrigerate .",cool_2
cool,What do you wear as a base layer when it 's [cool] outside ?,cool_2
hard,"Add this to the convenience stores , sandwich shops and great value supermarket and its not [hard] to see why it has became such a popular area with students .",hard_1
cool,"PS Let me know if you ’re [cool] for me to share brands like this , that I genuinely support , and then offer discounts .",cool_1
hard,"For this reason , I ’ll repeat : collective impact is [hard] .",hard_1
hard,"From what I saw , that is n't [hard] to imagine .",hard_1
cool,"Sunday will be a mainly - sunny day , yet Baton Rouge neighborhoods will stay [cool] as afternoon readings will only climb into the upper 40s to low 50s .",cool_2
hard,Hard Drive & Disk Drive : Avoid using the [hard] drive and disk drive excessively .,hard_3
cool,"They have some really [cool] antique jewelry here and I coveted several pieces , but seeing as how I have a wedding coming up in the near future , I need to save my money .",cool_1
cool,It ’s a pretty [cool] gear shop and has an even cooler logo .,cool_1
cool,"For those [cool] summer nights drift off in the breeze , on a newly added Pawley 's Island swing , from the top floor screened porch overlooking the sound .",cool_2
hard,Hybrid Wood/ Glass Shelves photograph will require upwards a lot of space or room upon your [hard] disk drive .,hard_3
hard,"The piece of hardware that looks like a small tower , is actually a PC monitor stand that contains a [hard] drive , CD - ROM drive , two 3.5 "" floppy drives and a 520ST power supply .",hard_3
cool,I particularly like the [cool] 812.5 years ROI on double glazing .,cool_1
hard,I try really [hard] to do that myself .,hard_2
hard,"Taking on a bad project — or a [hard] client — costs more in the long run , as you ’ll constantly have to hound the client for payment , prove your worth , and argue against incessant design changes .",hard_1
hard,One other great thing is that this game is actually challenging unlike most RPG 's out there today ... it 's not so [hard] that you 'll want to quit but its not too easy either .,hard_1
cool,I think this discovery is really [cool] because rome - era tombs are from way back when .,cool_1
hard,The [hard] part ( designing ) is complete and you can start to see it come together .,hard_1
hard,Unfortunately for Schumer all his [hard] work appears to be coming back to bite him in the rear hurting his reputation not helping it .,hard_2
cool,"I thought from the very first night as an assistant DJ that this was not only something I could do well for my brides , grooms and their guests , but how [cool] would it be to offer some really fun , personalized touches unique to them , to make their night that much better ?",cool_1
hard,This type of service is [hard] to beat !,hard_1
hard,"That should n't be so [hard] , right ?",hard_1
cool,"That is very , very [cool] Tammy !",cool_1
cool,"When it 's sizzling hot , the modern 15000 BTU a / c unit will keep the family [cool] and fresh ; and when it 's cold , everyone will be toasty and warm , thanks to the efficient 35000 BTU furnace !",cool_2
cool,33 [cool] bedroom chairs you can buy awesome stuff 365 .,cool_1
cool,"Bellow , you can check a showcase of 10 [cool] yellow shower curtain designs which could serve as an inspiration .",cool_1
hard,"I like car model building , legos , video games , computer , science , biking and blowing up stuff with Shruti | Work [hard] | Work hard , do n't dawdle , and always turn in your assignments on time .",hard_2
cool,how [cool] are these tie dye bags ?,cool_1
hard,I wept as I tried to make sense of moments and words my heart was having a [hard] time translating .,hard_1
cool,"And , if your child is more the violin type ( that ’s [cool] too ! )",cool_1
hard,it is also [hard] when we all have a little bit of competitiveness in us ( sometimes we can be competitive ) and we want to be up the front winning not the last one to finish - this may cause i to rush and not do things properly .,hard_1
hard,Insider tip : track it all and do n’t be [hard] on yourself .,hard_1
cool,And it does involve some pretty [cool] moonlighting .,cool_1
cool,This stuff is really [cool] and really looks like water .,cool_1
hard,This is [hard] from some people .,hard_1
cool,"Lake Travis is a beautiful lake with 44,000 acres of [cool] , clean clear water .",cool_2
hard,This small & mobile jaw crusher is a rock crusher plant for crushing [hard] rock down to size .,hard_3
hard,Entrepreneurs who are willing to put in [hard] work and invest in the field of biologics and biosimilars will find this meeting the best place to properly shape their drive for the new endeavours .,hard_2
hard,I had a [hard] time getting into it .,hard_1
cool,Thermal absorptivity is an indicator of warm - [cool] feeling .,cool_2
cool,They offer equally as [cool] hostel rooms at just as affordable prices .,cool_1
hard,"It was [hard] for me to break out of a strict session plan , but now I go about it in a similar manner with my 1:1 clients .",hard_1
cool,"A [cool] breeze through the night air flowed through her long , brown hair that hung at the back of her thighs .",cool_2
cool,"This 3 - drawer organizer gives you that , and it has a very [cool] minimalist look that does n't take up too much of your closet or room .",cool_1
hard,"If you just want to backup all your Photoshop ( .psd ) files to an external [hard] drive no matter where they are located on your Mac , you could select your entire Mac ’s hard drive as one target and a folder on the external hard drive as the other target .",hard_3
hard,"Why the technology will be around for another 20 years : Though you may not think it , optical media is still one of the most predominant of all storage mediums , besides the [hard] drive .",hard_3
cool,"One year it was a mani / pedi , the next year it was tickets to a [cool] museum exhibit .",cool_1
hard,It is [hard] to conceive of a case in relation to which Lord Dunedin ’s presumption about the same penalty for breaches of differing gravity could better apply .,hard_1
cool,"Store it in a dry , [cool] space , preferably in a board bag like the Inflatable SUP Roller Backpack that comes with your SUP package .",cool_2
cool,Apply [cool] water or ice packs to the skin to lower your body temperature .,cool_2
cool,The Wild Honey Foundation is known for it ’s [cool] pop shows that benefit the Autism Think Tank .,cool_1
hard,"Given the facts that the German government is not willing to permit fracking , that it is uncomfortable with its dependence on Russia for natural gas , and that it is strongly against fossil fuels in general , it is [hard] to imagine large - scale development of any sort of fossil fuel plants in the country .",hard_1
cool,"That was just the cool part , the really [cool] part ?",cool_1
hard,"It beats using 25 - year - old [hard] drives , that ’s for sure .",hard_3
cool,"So next time you think that the best way to make yourself feel better is to buy yourself a treat , or the next [cool] gadget , consider that the opposite is true .",cool_1
cool,"It is going to save you a bunch of time , all that [cool] stuff , right ?",cool_1
hard,"It ’s kind of [hard] to understand why he ’s not more well known ( but then again , given the mainstream ’s lack of curiousoty , it ’s not really that hard to believe ) .",hard_1
cool,I lived in MN for a couple of years and it was a very [cool] place .,cool_1
cool,We found a lot of really [cool] paper goods at the estate sale too .,cool_1
hard,That is a [hard] question but the first thing that comes to mind is my portrayal of Capt .,hard_1
hard,I have another question : I have a [hard] drive that I removed from another computer and use it with USB adapter,hard_3
cool,How [cool] is this ? !,cool_1
hard,"Calcium and magnesium dissolved in water are the two most common minerals that make water "" [hard] "" .",hard_3
hard,"It is possible to quickly run it on your [hard] drive platform , damage pad Personal computer , and in addition creative gadgets .",hard_3
hard,Steel Tigers will have a [hard] time living up to that .,hard_1
hard,"However , it does not make any changes to the operating system already installed on the [hard] disk , SSD or flash storage – UD Pocket runs entirely from the USB stick .",hard_3
cool,"But as you get lost in your computer screen , the soda can is way past the [cool] temperature you want it to be at .",cool_2
hard,"Each quarter , employees at the company vote for the person they feel goes beyond the call of duty in [hard] work and dedication towards customers and each other .",hard_1
hard,"Compare this to if Marcelle Reich wrote his own biography , he ’d wax lyrical about [hard] work , negotiation / persuasion skills ( in this case code for brown envelope skills ) etc .",hard_2
hard,"It was a [hard] goodbye yesterday at Oaklea Field , with a season - ending loss against a strong and skilled Berkshire team , but it was so much more than that .",hard_1
hard,"It ’s hard to believe , but May 26 , 2011 marks 10 years of marriage for my wife and I. I remember our wedding day as if it happened just an hour ago and it ’s [hard] to fathom that the next 10 years may pass as quickly .",hard_1
hard,After a long holiday I had a really [hard] time returning to the university .,hard_1
hard,Bed bugs hide well and are really [hard] to get rid of if not treated by a professional .,hard_1
cool,It does look like a [cool] and beautiful palate .,cool_1
cool,"Certainly hope they start to offer Passholder and “ Tables ” discounts eventually because I agree with you : as [cool] as this is , I ’m not forgoing my 20%+ discount for convenience !",cool_1
hard,Check out our video on identifying common [hard] drive failures .,hard_3
cool,The mature oaks provide ample shade allowing everyone to stay [cool] in 90 degree+ heat .,cool_2
hard,"Especially when you ’re dealing with many students , it ’s [hard] for the teacher .",hard_1
cool,"As we started practicing the times tables , I remembered this [cool] trick I 'd learned years ago .",cool_1
cool,"From the terraced rice field to the exciting ethnic lives , from the [cool] climate to the colorful trek , Sapa is a must - see , must - go and must - experience .",cool_2
cool,"Today 's recipe is a refreshingly [cool] drink to beat the heat , Watermleon Lemonade .",cool_2
hard,The Vamps insist it is [hard] to date '' normal girls '' .,hard_1
cool,This sturdy coffee table mirrors the round shape of the rug and features a [cool] glass top on a woven rattan base .,cool_1
cool,"I 've had the shoes for many years , so it was pretty [cool] when I realised what a good match they were !",cool_1
cool,"However , [cool] winds that blow in the region during this month make the weather little suitable for carrying out outdoor activities and sightseeing .",cool_2
hard,It ’s [hard] to bring home the bacon on tests these days .,hard_1
hard,"While older potential guardians might be financially situated and have more free time to engage in child raising , they might also have a [hard] time connecting with children .",hard_1
cool,"When he came into our lives , he joined our beautiful dog Winnie and our incredibly [cool] and feisty cat , Zippity ( both of blessed memory ) .",cool_1
cool,"Here ’s a [cool] shorty from Mexico , focused on the boats that take fly fishers to the flats .",cool_1
hard,Now ....... the only things on the portable [hard] drive are the current backed up documents from my laptop and the document my colleague saved .,hard_3
hard,"Following a long tradition of sporting tweeds designed for the professional working countryman , Hoggs “ Falkland ” waterproof tweed jacket is constructed from [hard] wearing , wool - rich tweed .",hard_2
hard,It ’s [hard] and complicated and requires attention nearly 24/7 .,hard_1
cool,"It supports [cool] effects , multiple projects / tabs , layers and action history .",cool_1
hard,"With [hard] drives and ssd now larger and cheaper than ever , you might well wonder just why such tools are still needed .",hard_3
hard,"The entry - level , 800MHz model is the least attractive of the bunch , given that you can get a similarly configured iMac , with a screen , a larger [hard] drive , and a SuperDrive , for $ 200 more .",hard_3
hard,After all our [hard] work ... it is done .,hard_2
hard,Most people dream of this knowing how [hard] life can be these days .,hard_1
hard,"to answer colin ’s question about afterlife : You will get what you believe in – it is [hard] work to get there , but I know I will end up in Walhalla – it is mind over matter .",hard_1
hard,"Although the actual recipe is a bit [hard] to pull out from the post , the results are always worth it .",hard_1
hard,It was a [hard] life with little opportunity .,hard_1
cool,"The most popular color of the Bengal is the brown / black tabby , a lackluster description for coats that can be anywhere from a [cool] grey to vibrant shades of golden , bronze , copper or mahogany with spots or marbling ranging from rich browns to intense black .",cool_2
cool,"However , on the day of cycling , individuals need to both makeup for the fluid lost while sweating and stay [cool] .",cool_2
hard,You need to be reminded that there will be different specifications of various internal [hard] drives .,hard_3
hard,"Again , it is [hard] to say .",hard_1
hard,My darling giant husband purchased an external [hard] drive to ease my worry .,hard_3
cool,Unlimited source of cool gadgets – discover [cool] stuff on a daily basis and choose your favorite cool gadget .,cool_1
hard,"Repeated testing in gardening magazines and TV gardening shows have come up with results that favour bypass bladed pruners for delicate stems or prize plants , while anvil secateurs may have a slight advantage for [hard] woody stems where getting maximum force is the issue .",hard_3
cool,"This week we chat with @Penny_Elmslie , Head of Marketing for the [cool] accounting software Xero .",cool_1
hard,"It ’s a long term process , involving many hours of research , [hard] work and dedication to improve the communication between your website and a search engines algorithm , such as Google ’s .",hard_1
hard,"You do n’t have to make it a [hard] sell , but often a friendly suggestion to your customers will not only boost the overall sale but also demonstrate your interest in the project .",hard_2
hard,"The journey has been long , bumpy and turbulent but worth it … This body of work is a living proof of the result from [hard] work , tenacity and focus .",hard_2
cool,So you have made the switch from Linux to Mac OSX and you realize that owning a Mac is not just about [cool] software it is about some of the greatest hardware you will ever use .,cool_1
hard,""" I 'm going to push very [hard] to use jurisdiction that already exists . """,hard_2
cool,It is really modern and just a [cool] atmosphere - just what I like .,cool_1
cool,Customising your jeans with fabric paint is just one of many very [cool] ideas from Joybobo.com .,cool_1
hard,the reason i said it makes me sad is because i ca nt talk with my mouth and that is so [hard] to not have the ability to just speak whenever .,hard_1
cool,"Humanature combine pure Enzogenol ® with L - theanine to support neural balance , [cool] heads and change lives with healthy concentration , mental clarity and stress management .",cool_1
hard,The drop - down box lists all the unassigned [hard] drives .,hard_3
hard,Need a [hard] money loan in San Francisco ?,hard_3
cool,I decorate my hallway like I would my living room – with stuff in it so it feels pretty [cool],cool_1
cool,We discovered a really [cool] stacked vertebra !,cool_1
hard,"It ’s [hard] to not get caught up in them however , taking a step back and looking at the positives is the best thing to do .",hard_1
hard,Is it [hard] to watch at times ?,hard_1
cool,The [cool] weather of April is perfect for pansies .,cool_2
cool,"I know , I know – you may have heard the same thing before from those that think it ’s [cool] to hate Microsoft ; but I ’m not one of those guys .",cool_1
hard,You ’re a [hard] worker yourself .,hard_2
hard,But if you ’re dealing with a lot of media ( especially videos ) then an external [hard] drive is the way to go !,hard_3
hard,Mom never remarried I think it was too [hard] while raising Beth and me .,hard_1
hard,Infertility can be a [hard] subject to discuss .,hard_1
cool,"It is churned until it separates into butter and buttermilk and then washed by hand with [cool] , clear water to remove all traces of buttermilk .",cool_2
hard,"Exactly like a mattress should n’t be too [hard] , it should also never be too soft .",hard_3
hard,"Copycat Restaurant Recipes » Brown Derby Special French Dressing – French salad dressing can be [hard] to find , but you can recreate this salad dressing with our recipe .",hard_1
